id,url,title
1,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/Swiss_Internet_Governance_Forum_Messages_from_Bern_2022.pdf,"Submission by Swiss Internet Governance Forum, June 2022PDF"
2,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/New_York_University_Towards_A_Global_Digital_Governance_Architecture.pdf,"Submission by New York University's Center for Global Affairs, May 2022PDF"
3,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/220928_Action_Coalition_on_Innovation_and_Technology_for_Gender_Equality.pdf,"Submission by Action Coalition on Innovation and Technology for Gender Equality, September 2022PDF"
4,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/220929_Chinese_Academy_of_Sciences.pdf,"Submission by Chinese Academy of Sciences, September 2022PDF"
5,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/220929_Int_Federation_of_Library_Associations_and_Institutions.pdf,"Submission by International Federation of Library Associations and Institutions, September 2022PDF"
6,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/221010_Global_Partners_Digital_input_to_GDC.pdf,"Submission by Global Partners Digital, October 2022PDF"
7,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/221011_International_Chamber_of_Commerce.pdf,"Submission by International Chamber of Commerce, October 2022PDF"
8,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC_Stimson_Center_Rethinking-Global-Cooperation.pdf,"Submission by Stimson Center (specifically pages 26-36), October 2022PDF"
9,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC_submission_EuroSSIG.pdf,"Submission by the fellows of the 2022 European Summer School on Internet Governance (EuroSSIG), November 2022PDF"
10,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/Equity_2030_Building_Equitable_Future_Submission_for_Global_Digital_Compact.pdf,"Submission by UNFPA (part I), January 2023PDF"
11,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-Submission_UNFPA.pdf,"Submission by UNFPA (part II), April 2023PDF"
12,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/Germany_GDC-ConsultationAfrica_Report.pdf,"Submission from multistakeholder Africa consultations facilitated by the Government of Germany and the Government of Kenya, January 2023PDF"
13,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/230203_Alliance_for_Universal_Digital_Rights.pdf,"Submission by the Alliance for Universal Digital Rights, January 2023PDF"
14,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-input-JBI.pdf,"Submission by the Jacob Blaustein Institute for the Advancement of Human Rights, February 2023PDF"
15,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_USCIB.pdf,"Submission by the United States Council for International Business, February 2023PDF"
16,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission-CSA_GCR.pdf,"Submission by the Cloud Security Alliance Greater China Region (CSA GCR), February 2023PDF"
